Name,Popularity
어써러셔,0.363462
싸리용,0.482452
저승갓숭,0.486005
토오,0.389687
키키링,0.222753
노고고치,0.060881
대도각참,0.447346
위대한엄니,0.063912
우렁찬꼬리,0.110429
사나운버섯,0.004101
날개치는머리,0.3
땅을기는날개,0.108802
모래털가죽,0.007529
무쇠바퀴,0.051914
무쇠보따리,0.037823
무쇠손,0.1247
무쇠머리,0.035263
무쇠독나방,0.038462
무쇠가시,0.038259
드니차,0.317305
드니꽁,0.031396
드닐레이브,0.427184
모으령,0.526697
타부자고,0.467992
총지엔,0.093946
파오젠,0.110833
딩루,0.075266
위유이,0.122839
고동치는달,0.136905
무쇠무인,0.324639
코라이돈,0.606253
미라이돈,0.615071
굽이치는물결,0.131704
무쇠잎새,0.007529
과미르,0.089319
차데스,0.219574
그우린차,0.128082
조타구,0.046053
이야후,0.240327
기로치,0.152047
오거폰,0.570629
브리두라스,0.385977
과미드라,0.202525
꿰뚫는화염,0.033422
날뛰는우레,0.087147
무쇠암석,0.026864
무쇠감투,0.006854
테라파고스,0.464721
복숭악동,0.212236
